name,id,teamcode,teamid,position
Givani Smith,8479379,DET,17,R
Ty Smith,8480883,NJD,1,D
Mike Smith,8469608,EDM,22,G
Reilly Smith,8475191,VGK,54,R
Brendan Smith,8474090,CAR,12,D
Craig Smith,8475225,BOS,6,C
Arvid Soderblom,8482821,CHI,16,G
Ilya Sorokin,8478009,NYI,2,G
Carson Soucy,8477369,SEA,55,D
Garret Sparks,8476343,LAK,26,G
Jason Spezza,8469455,TOR,10,C
Daniel Sprong,8478466,WSH,15,R
Jared Spurgeon,8474716,MIN,30,D
Marc Staal,8471686,DET,17,D
Jordan Staal,8473533,CAR,12,C
Steven Stamkos,8474564,TBL,14,C
Logan Stanley,8479378,WPG,52,D
Paul Stastny,8471669,WPG,52,C
Troy Stecher,8479442,DET,17,D
Sam Steel,8479351,ANA,24,C
Oskar Steen,8479546,BOS,6,C
Derek Stepan,8474613,CAR,12,C
Mitchell Stephens,8478477,DET,17,C
Chandler Stephenson,8476905,VGK,54,C
Riley Stillman,8479388,CHI,16,D
Anthony Stolarz,8476932,ANA,24,G
Michael Stone,8474628,CGY,20,D
Mark Stone,8475913,VGK,54,R
Anton Stralman,8471873,ARI,53,D
Ryan Strome,8476458,NYR,3,C
Dylan Strome,8478440,CHI,16,C
Marian Studenic,8480226,NJD,1,R
Nico Sturm,8481477,MIN,30,C
Tim Stützle,8482116,OTT,9,L
P.K. Subban,8474056,NJD,1,D
Malcolm Subban,8476876,BUF,7,G
CJ Suess,8478058,WPG,52,L
Oskar Sundqvist,8476897,STL,19,C
Andrej Sustr,8477205,TBL,14,D
Pius Suter,8480459,DET,17,C
Ryan Suter,8470600,DAL,25,D
Nick Suzuki,8480018,MTL,8,C
Evgeny Svechnikov,8478431,WPG,52,L
Andrei Svechnikov,8480830,CAR,12,R
Jeremy Swayman,8480280,BOS,6,G
Cam Talbot,8475660,MIN,30,G
Brandon Tanev,8479293,SEA,55,L
Christopher Tanev,8475690,CGY,20,D
Vladimir Tarasenko,8475765,STL,19,R
Daniil Tarasov,8480193,CBJ,29,G
Tomas Tatar,8475193,NJD,1,L
John Tavares,8475166,TOR,10,C
Teuvo Teravainen,8476882,CAR,12,L
Troy Terry,8478873,ANA,24,R
Alexandre Texier,8480074,CBJ,29,C
Shea Theodore,8477447,VGK,54,D
Robert Thomas,8480023,STL,19,C
Logan Thompson,8480313,VGK,54,G
Tyce Thompson,8481740,NJD,1,R
Tage Thompson,8479420,BUF,7,R
Nate Thompson,8470775,PHI,4,C
Lassi Thomson,8481575,OTT,9,D
Joe Thornton,8466138,FLA,13,C
Chris Tierney,8476919,OTT,9,C
Conor Timmins,8479982,ARI,53,D
Jarred Tinordi,8475797,NYR,3,D
Owen Tippett,8480015,FLA,13,R
Matthew Tkachuk,8479314,CGY,20,L
Brady Tkachuk,8480801,OTT,9,L
Devon Toews,8478038,COL,21,D
Jonathan Toews,8473604,CHI,16,C
Tyler Toffoli,8475726,MTL,8,R
Dustin Tokarski,8474682,BUF,7,G
Eeli Tolvanen,8480009,NSH,18,R
Philip Tomasino,8481577,NSH,18,C
Dominic Toninato,8476952,WPG,52,C
Yakov Trenin,8478508,NSH,18,C
Vincent Trocheck,8476389,CAR,12,C
Jacob Trouba,8476885,NYR,3,D
Alex Tuch,8477949,BUF,7,R
Kyle Turris,8474068,EDM,22,C
Linus Ullmark,8476999,BOS,6,G
Vitek Vanecek,8477970,WSH,15,G
Semyon Varlamov,8473575,NYI,2,G
Andrei Vasilevskiy,8476883,TBL,14,G
Frank Vatrano,8478366,FLA,13,C
Lukas Vejdemo,8478838,MTL,8,C
Karel Vejmelka,8478872,ARI,53,G
Joe Veleno,8480813,DET,17,C
Carter Verhaeghe,8477409,FLA,13,C
Kristian Vesalainen,8480005,WPG,52,L
Jeffrey Viel,8479705,SJS,28,L
Dan Vladar,8478435,CGY,20,G
Marc-Edouard Vlasic,8471709,SJS,28,D
Jakub Voracek,8474161,CBJ,29,R
Jakub Vrana,8477944,DET,17,L
Oliver Wahlstrom,8480789,NYI,2,R
Nathan Walker,8477573,STL,19,L
Sean Walker,8480336,LAK,26,D
Jake Walman,8478013,STL,19,D
Austin Watson,8475766,OTT,9,L
Jasper Weatherby,8481061,SJS,28,C
Shea Weber,8470642,MTL,8,D
Scott Wedgewood,8475809,ARI,53,G
MacKenzie Weegar,8477346,FLA,13,D
Alex Wennberg,8477505,SEA,55,C
Zach Werenski,8478460,CBJ,29,D
Blake Wheeler,8471218,WPG,52,R
Colin White,8478400,OTT,9,C
Zach Whitecloud,8480727,VGK,54,D
Chris Wideman,8475227,MTL,8,D
Max Willman,8478051,PHI,4,C
Tom Wilson,8476880,WSH,15,R
Christian Wolanin,8478846,LAK,26,D
Dustin Wolf,8481692,CGY,20,G
Miles Wood,8477425,NJD,1,L
Kailer Yamamoto,8479977,EDM,22,R
Keith Yandle,8471735,PHI,4,D
Jesse Ylonen,8481058,MTL,8,R
Pavel Zacha,8478401,NJD,1,C
Filip Zadina,8480821,DET,17,R
Nikita Zadorov,8477507,CGY,20,D
Nikita Zaitsev,8479458,OTT,9,D
Jakub Zboril,8478415,BOS,6,D
Trevor Zegras,8481533,ANA,24,C
Mika Zibanejad,8476459,NYR,3,C
Radim Zohorna,8482241,PIT,5,L
Artem Zub,8482245,OTT,9,D
Mats Zuccarello,8475692,MIN,30,R
Jason Zucker,8475722,PIT,5,L
James van Riemsdyk,8474037,PHI,4,L
Michael Del Zotto,8474584,OTT,9,D
Trevor van Riemsdyk,8477845,WSH,15,D
Calvin de Haan,8475177,CHI,16,D
Joel Eriksson Ek,8478493,MIN,30,C
